applicant_id,income_stability,utility_history,cashflow_stability,affordability,mobile_tenure,balance_buffer,device_trust,identity_match,access_behavior,location_stability,loan_scale,repayment_target,evaluation_group
SYN-04920,1.00000,0.68816,0.58757,0.52426,0.49690,1.00000,0.62993,0.96667,0.84240,0.73127,0.50480,0,B
SYN-05172,0.50079,0.51133,0.60899,0.83912,0.82220,0.13604,0.54089,1.00000,0.83125,0.70284,0.83592,0,B
SYN-02675,0.45120,0.86719,0.63706,0.66424,0.51228,0.28142,0.84969,0.82698,0.56614,0.81764,0.39863,0,B
SYN-01702,0.06623,1.00000,0.87470,0.97243,0.69782,0.16658,0.98520,0.90449,0.63900,0.35196,0.30652,0,B
SYN-07014,0.09373,1.00000,0.63602,0.57315,0.25657,0.47094,0.75929,0.96857,0.97782,0.98425,0.63430,0,A
SYN-01143,0.69576,0.62682,0.73739,0.59026,0.49002,0.42365,0.93986,1.00000,0.72506,1.00000,0.52608,1,A
SYN-05675,0.67101,0.77623,0.38576,0.46683,0.65420,0.26739,0.88083,0.55334,0.81454,0.75609,0.79005,0,A
SYN-06217,0.90871,0.74330,0.24963,0.31612,0.15727,0.08459,0.59877,0.61207,0.70318,0.94952,0.71877,0,A
SYN-01884,0.44219,0.77412,0.77640,0.50397,0.32226,0.71202,0.89519,0.98490,0.69024,0.66435,1.00000,0,A
SYN-01121,0.86999,0.70419,0.74599,0.51874,0.29794,0.14581,0.69982,0.92129,0.83332,1.00000,0.78854,0,A
SYN-07531,0.38954,0.77979,0.64972,0.84989,0.88106,0.32459,0.66629,0.86071,0.71986,0.77229,0.44188,0,A
SYN-02433,0.42286,0.87938,0.72372,0.78995,0.13006,0.02841,0.62961,0.91242,0.88408,0.72727,0.69724,0,A
SYN-05487,0.56213,0.66593,0.61412,0.30890,0.59078,0.20889,0.90291,0.99849,0.70669,0.73172,0.57987,0,B
SYN-05857,1.00000,0.80741,0.83152,0.39321,0.14578,0.53355,0.59283,0.91586,0.40021,0.28354,0.82163,0,A
SYN-05365,0.77335,0.76054,0.68350,0.63022,0.46464,0.39135,1.00000,0.90747,0.70349,0.59239,0.43587,0,B
SYN-06212,0.37502,0.74561,0.97624,0.64445,0.86931,0.46212,0.77552,0.63306,0.48221,0.76671,0.76770,0,A
SYN-03035,0.78604,1.00000,0.71322,1.00000,1.00000,0.40164,0.74220,0.79185,0.78839,1.00000,0.79207,1,A
SYN-06133,0.30693,0.89351,0.50630,0.29500,0.60211,0.72933,0.89756,0.83389,0.84170,0.72939,0.57887,0,A
SYN-03703,0.36940,0.88739,0.46098,0.52923,0.39948,0.46744,0.56389,0.79708,0.83029,0.62602,0.65157,0,B
SYN-02210,0.25865,0.88619,0.26565,0.66380,0.67283,0.33475,0.77346,0.77296,0.51586,0.61140,0.77820,0,A
SYN-05414,0.64040,0.60449,0.59536,0.95103,0.35111,0.14376,0.64826,0.84524,1.00000,0.97103,0.68546,0,A
SYN-05088,0.44414,0.62044,0.72864,0.48836,0.53397,0.11915,0.82221,1.00000,0.82563,0.87999,0.70037,0,A
SYN-01103,0.74943,1.00000,0.72066,0.85646,0.10948,0.09677,1.00000,1.00000,0.74450,0.71848,0.08597,1,A
SYN-01551,1.00000,0.70132,0.66389,0.53748,0.23072,0.23600,0.89675,0.63574,0.58074,0.80813,0.67359,0,B
SYN-00513,0.63027,0.81979,0.43597,0.86988,0.58767,0.19683,1.00000,1.00000,0.57114,0.67445,0.58253,0,A
SYN-06711,0.41914,0.69121,0.72168,0.35269,0.10655,0.25053,0.64991,0.63895,0.83405,0.48557,0.76841,0,A
SYN-07944,0.29388,0.73002,0.64036,0.57697,0.57194,0.35417,0.78403,0.81498,0.58069,0.52292,0.72697,0,A
SYN-03608,0.25310,0.80755,0.78758,0.31155,0.84686,0.05127,0.74763,0.94994,0.81178,0.57373,0.62211,0,A
SYN-07805,0.34789,0.91942,0.62409,0.30706,0.02267,0.25723,0.94901,0.87602,0.61537,0.77792,0.58262,0,A
SYN-05212,0.66604,0.72320,0.60768,0.44174,0.14075,0.14672,0.83434,0.82280,0.78248,0.57728,0.75448,0,B
SYN-05381,0.12148,0.78486,0.52567,0.23906,0.32691,0.21617,0.41490,0.92282,0.87000,0.65203,0.93499,0,A
SYN-04554,0.40738,0.69433,0.78647,0.74069,0.22236,0.42601,0.48949,0.59903,0.92690,0.43134,0.92664,0,A
SYN-04037,0.51564,1.00000,0.89517,0.71140,0.38692,0.16113,0.61950,0.69835,0.67700,0.77461,0.29790,0,B
SYN-03676,0.97353,0.86445,0.81408,0.51914,0.34002,0.62018,0.70890,0.81370,0.96278,0.78236,0.36684,0,A
SYN-02462,0.47637,0.98619,0.53971,0.64596,0.30273,0.49771,0.83003,0.87970,0.71188,0.86132,0.88373,0,A
SYN-03730,0.59849,0.90421,0.51289,0.55643,0.48740,0.34078,0.69604,0.76668,0.77063,0.79218,0.94133,0,B
SYN-05270,0.55261,0.86769,0.85482,0.47163,0.43866,0.24531,0.81762,0.96490,0.87842,0.73771,0.44153,1,A
SYN-05689,0.37071,0.95596,0.45575,0.32158,0.34459,0.44305,0.71469,1.00000,0.78050,0.91018,0.45264,0,A
SYN-03582,0.66097,0.85268,0.42039,0.56333,0.29740,0.35887,0.89961,0.53550,0.82734,0.56696,0.76026,0,B
SYN-02904,0.60845,0.63947,0.59342,0.79801,0.86226,0.53375,0.94423,0.84486,0.85423,0.80212,0.73918,0,A
SYN-06111,1.00000,0.59933,0.54685,0.33509,0.25283,0.07087,1.00000,0.66459,0.80774,0.78944,0.75087,0,B
SYN-00269,1.00000,0.93153,0.49456,0.52322,0.61025,0.16575,1.00000,1.00000,0.83980,0.50635,1.00000,1,B
SYN-01284,0.06544,0.72123,0.81159,0.65100,0.36442,1.00000,0.91269,0.97083,0.71104,0.99192,0.86768,0,B
SYN-04980,0.33212,0.82624,0.90107,0.33680,0.34256,0.11369,0.93277,0.78821,0.64228,0.51446,0.84237,0,B
SYN-04570,0.15382,0.89826,0.90954,0.95079,0.55755,0.73709,1.00000,1.00000,0.53032,0.70465,0.61345,1,B
SYN-03559,0.52487,0.86235,0.82609,0.56806,0.13448,0.29575,0.65867,0.87793,0.56700,0.60191,0.33238,0,A
SYN-03333,0.50322,0.80645,0.25169,0.69816,0.85257,0.63881,0.85640,0.93567,0.99754,1.00000,0.73068,0,A
SYN-05703,0.50829,0.74332,0.18690,0.35010,0.34162,0.45586,0.70770,0.73379,0.98166,0.59027,0.65057,0,B
SYN-06895,0.05685,0.80215,0.83683,0.82692,0.37231,0.19765,0.88644,0.72591,0.86735,0.74848,0.45515,0,B
SYN-04675,0.31383,0.86448,0.90858,0.77315,0.35443,0.24800,0.66240,0.87783,0.79978,0.67277,1.00000,1,B
SYN-03881,0.78833,0.72104,1.00000,0.90473,1.00000,0.50147,0.86547,0.87677,0.87771,0.68304,0.64047,1,B
SYN-07554,1.00000,0.74790,0.91580,0.29577,0.22681,0.06479,0.97937,0.80465,0.77202,0.95730,0.47624,0,B
SYN-05332,0.80106,0.83417,0.78150,0.94645,0.36595,0.14771,0.69198,0.87759,0.80141,0.98856,0.58029,1,B
